@relation diemthifinal-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute sbd numeric
@attribute 'Diem xet tot nghiep' numeric
@attribute 'Dieu kien tot nghiep' {Dat,'Khong Dat'}

@data
24008611,8.4,Dat
51000032,7.8,Dat
51000013,7.7,Dat
51000003,7.1,Dat
51000011,7.2,Dat
51000007,5.4,Dat
51000010,7.4,Dat
51000018,8.4,Dat
51000028,6.6,Dat
51000034,8.4,Dat
51000014,7,Dat
51000019,8.2,Dat
51000006,5.5,Dat
51000033,8.1,Dat
51000024,7.6,Dat
51000026,6.7,Dat
51000039,6.9,Dat
51000002,6.9,Dat
51000027,8.9,Dat
51000008,7.6,Dat
51000012,6.8,Dat
51000040,7,Dat
51000029,8.2,Dat
51000046,7.5,Dat
51000038,6.3,Dat
51000025,6.6,Dat
51000022,8.1,Dat
51000017,7,Dat
51000030,6.4,Dat
51000009,7.9,Dat
51000031,7.5,Dat
51000044,7.5,Dat
51000016,6.8,Dat
51000015,7.8,Dat
51000036,7.7,Dat
51000048,7.8,Dat
51000037,7.8,Dat
51000041,7.9,Dat
51000049,6.9,Dat
51000047,6.6,Dat
51000051,7.1,Dat
51000050,6.9,Dat
51000045,6.7,Dat
51000055,8.1,Dat
51000054,7.3,Dat
51000057,7.4,Dat
51000052,6.2,Dat
51000060,7.5,Dat
51000063,7.8,Dat
51000056,7.4,Dat
51000062,7.3,Dat
51000061,5.7,Dat
51000065,5.9,Dat
51000067,6.4,Dat
51000064,7.1,Dat
51000066,7.9,Dat
51000070,6.9,Dat
51000079,7.3,Dat
51000080,7.6,Dat
51000073,7.3,Dat
51000081,7.9,Dat
51000069,5.9,Dat
51000072,6.5,Dat
51000074,7,Dat
51000077,5.6,Dat
51000076,7.3,Dat
51000083,8.2,Dat
51000078,8.1,Dat
51000082,7.8,Dat
51000085,6,Dat
51000075,7.9,Dat
51000087,7.8,Dat
51000086,6.8,Dat
51000084,4.9,'Khong Dat'
51000090,6.9,Dat
51000089,6.7,Dat
51000088,6.3,Dat
51000095,7.7,Dat
51000094,5.8,Dat
51000092,6.4,Dat
51000091,6.1,Dat
51000097,7.7,Dat
51000096,7.8,Dat
51000099,7.2,Dat
51000100,7.4,Dat
51000098,6.7,Dat
51000102,7.8,Dat
51000103,7.4,Dat
51000112,5.7,Dat
51000108,7.6,Dat
51000107,7.5,Dat
51000106,6.7,Dat
51000109,7.6,Dat
51000115,7.6,Dat
51000110,7.1,Dat
51000117,6.7,Dat
51000111,8.2,Dat
51000114,7,Dat
51000120,4.6,'Khong Dat'
51000119,6.5,Dat
51000123,7.6,Dat
51000116,6.7,Dat
51000118,6,Dat
51000127,5.9,Dat
51000124,8.3,Dat
51000129,6.7,Dat
51000128,6.3,Dat
51000125,7.8,Dat
51000132,7.9,Dat
51000135,7.8,Dat
51000134,7.3,Dat
51000136,7.8,Dat
51000138,7,Dat
51000139,6.6,Dat
51000140,7.3,Dat
51000143,8.2,Dat
51000141,7.5,Dat
51000137,6.4,Dat
51000146,7.9,Dat
51000153,7.2,Dat
51000144,7.4,Dat
51000151,8.3,Dat
51000147,6.3,Dat
51000148,7.5,Dat
51000145,7.3,Dat
51000156,7.8,Dat
51000157,7.4,Dat
51000158,6.9,Dat
51000162,5.3,Dat
51000159,8.1,Dat
51000154,7.4,Dat
51000164,6.1,Dat
51000161,7.2,Dat
51000163,8.2,Dat
51000171,7.3,Dat
51000170,7.4,Dat
51000165,7.8,Dat
51000168,7.3,Dat
51000167,6.8,Dat
51000178,7.3,Dat
